Sample_name,Al,Ti,V,Mn,Co,Ni,Cu,Zn,Ga,Ge,Cd,La,Ce,Pr,Nd,Sm,Eu,Gd ,Tb ,Dy,Ho,Er,Tm ,Yb,Lu   ,Hg,Na,Mg ,K,Ca,Fe,Li,Be,B,Rb,Sr,Zr,Nb,Mo,Pd,Ag,In,Sn,Sb,Te,Cs,Ba,Hf,Ta,W,Os,Pt,Au,Tl,Pb,Bi ,Th ,U,Cr,As,Se  ,Si,P,S
m21/26_70-72,"1139,11","19,34","7,02","101,79","1,24","2,03","22,27","10,23","0,41","0,25",<DL,"2,91","4,96","0,7","2,77","0,53","0,11","0,47","0,06","0,33","0,05","0,16",<DL,"0,12","0,01","3,51","780,8","2640,4","437,74","38150,9","2392,7","1,98","0,1","6,32","1,17","92,85",<DL,<DL,"0,02",<DL,"0,08",<DL,<DL,<DL,"0,01","0,17","7,78",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,84",<DL,"0,12","0,11","2,66","1,4",<DL,"660,22","878,43","4843,83"
m21/26_90-93,"2533,79","23,51","11,6","142,21","2,25","3,92","17,66","8,96","0,29","0,34",<DL,5,"9,12","1,31","5,29","1,11","0,23","0,95","0,12","0,69","0,12","0,35","0,03","0,26","0,03","1,67","1256,29","2838,12","1076,43","39888,09","4370,58","4,31","0,22","14,1","2,01","64,01","0,01",<DL,<DL,"0,48",<DL,<DL,<DL,<DL,"0,01","0,18","2,41",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,87",<DL,"0,29","0,18","5,4","1,32",<DL,"1205,08","791,33","4159,97"
m21/26_9-12,"4879,71","33,83","23,19","176,48","4,55","9,3","9,55","10,69","0,7","0,59",<DL,"9,78","22,29","2,7","10,88","2,38","0,52","2,15","0,3","1,61","0,29","0,79","0,09","0,62","0,08","4,91","2038,63","2896,72","1919,57","3283,64","8939,7","7,64","0,42","22,48","2,78","6,29","0,05",<DL,<DL,"0,77","0,05",<DL,"0,17",<DL,"0,01","0,29","10,23",<DL,<DL,<DL,<DL,<DL,<DL,"0,03","6,85","0,07","0,91","0,17","11,69","1,4",<DL,"1589,59","751,8","3344,91"
"m21/27_0-2,5","2595,55","31,32","11,43","92,6","1,72","3,27","8,13",7,"0,34","0,36",<DL,"4,3","7,5","1,11","4,56","0,94","0,2","0,81","0,1","0,6","0,11","0,3","0,03","0,23","0,02","1,71","1359,18","5104,42","900,06","59036,53","4654,81","4,34","0,19","18,29","2,54","114,38","0,07","0,02",<DL,"0,56",<DL,<DL,"0,02",<DL,"0,01","0,44","2,21",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,83",<DL,"0,22","0,21","5,3","1,89",<DL,"1331,2","943,58","4449,58"
m21/27_17-19,"6522,18","49,16","32,66","77,84","4,24","9,73","16,93","41,1","0,71","0,47","0,06","10,05","19,86","2,58","10,43","2,26","0,46","1,85","0,25","1,44","0,26","0,74","0,08","0,58","0,07","0,74","50730,23","10558,11","3341,03","10966,04","12701,16","11,61","0,58","130,22","3,76","46,6","0,2","0,04",<DL,"0,99",<DL,<DL,"0,54",<DL,"0,01","0,73","8,95",<DL,<DL,<DL,<DL,<DL,<DL,"0,04","11,29","0,1","0,26","0,34","13,44","1,73",<DL,"1891,15","1453,41","10947,41"
"m21/27_2,5-2,8","4034,79","36,34","18,28","287,63","4,22","6,58","4,91","8,2","0,51","0,42","0,01","17,72","18,23","2,46","9,86","2,05","0,42","1,69","0,23","1,25","0,23","0,63","0,07","0,49","0,06","1,22","1786,22","7007,13","1643,91","83817,96","7212,1","7,36","0,38","23,1","2,57","58,4","0,11",<DL,<DL,"1,12",<DL,<DL,"0,14",<DL,"0,02","0,31","12,02",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"6,44","0,05","0,31","0,36","8,79","1,41",<DL,"1847,04","960,31","4068,68"
m21/27_22-25,"3820,25","33,66","19,5","48,52","3,65","6,94","22,39","22,38","0,25","0,34",<DL,"9,12","19,36","2,48","9,87","2,13","0,44","1,76","0,24","1,32","0,24","0,67","0,07","0,52","0,06","0,62","27928,57","6062,44","2108,94","26239,06","6215,44","6,26","0,44","37,46","1,66","31,9","0,21","0,02",<DL,1,<DL,<DL,"0,21",<DL,0,"0,09","4,9",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"8,46","0,05","0,14","0,23","8,17","0,75",<DL,"1445,15","1253,7","6050,36"
m21/27_29-30,"1277,81","15,13","6,3","104,34","1,14","1,48","2,64","1,92","0,16","0,22",<DL,"2,2","3,63","0,56","2,31","0,48","0,1","0,43","0,05","0,32","0,05","0,16",<DL,"0,12","0,01","0,26","929,6","4456,92","592,87","66922,41","2144,91","2,14","0,09","8,27","1,18","167,51","0,02",<DL,<DL,"0,43",<DL,<DL,<DL,<DL,"0,01","0,13","2,13",<DL,<DL,<DL,<DL,<DL,<DL,<DL,1,<DL,"0,07","0,19","2,37","1,46",<DL,"836,33","1116,25","4996,27"
m21/27_32-34,"5135,17","34,33","19,79","195,96","4,08","8,75","7,54","11,26","0,98","0,48",<DL,"10,32","20,57","2,86","11,45","2,46","0,51","2,05","0,27","1,48","0,27","0,72","0,07","0,54","0,07","1,13","2530,67","4425,63","2131,45","29467,25","8120,57","8,95","0,39","23,94","2,82","58,96","0,03",<DL,<DL,"1,03","0,23",<DL,"0,14",<DL,"0,01","0,29","24,35",<DL,<DL,"0,14",<DL,<DL,<DL,<DL,"5,19","0,05","0,58","0,21","10,06","0,93",<DL,"1611,62","839,05","3824,03"
m21/27_36-38,"780,9","13,74","6,07","39,58","0,48","1,77","1,63","0,89","0,1","0,21","0,01","1,86","2,85","0,46","1,89","0,38","0,08","0,34","0,04","0,25","0,04","0,13",<DL,"0,09",0,"1,19","902,49","4040,37","375,67","91431,74","1756,61","1,45","0,05","5,37","0,85","277,05","0,07",<DL,<DL,"0,41","0,08",<DL,<DL,<DL,"0,01","0,15","2,23",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,05",<DL,"0,08","0,22","2,43","1,66",<DL,"589,4","1126,18","5239,74"
m21/27_41-43,"377,84","7,75","4,67","43,86","0,33","0,43","1,35",<DL,"1,83","0,16",<DL,"1,28","1,74","0,32","1,34","0,27","0,05","0,24","0,02","0,18","0,03","0,09",<DL,"0,07",0,"0,33","880,4","3850,67","208,38","95935,1","1106,67","0,88","0,03","3,93","0,33","310,55","0,01",<DL,<DL,"0,4",<DL,<DL,<DL,<DL,"0,02","0,06","48,11",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,28",<DL,<DL,"0,21","1,36","1,82",<DL,"251,47","1189,8","5512,57"
m21/27_47-49,"361,26","7,31","5,18",60,"0,45","0,6","12,51","2,65","3,32","0,19",<DL,"2,26",2,"0,53","2,14","0,42","0,09","0,35","0,04","0,25","0,04","0,13",<DL,"0,1","0,01","0,36","950,32","4222,29","210,23","130463,3","1199,84","0,92","0,03","4,11","0,36","325,34",<DL,<DL,<DL,"0,5",<DL,<DL,<DL,<DL,"0,02","0,07","103,32",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,39",<DL,"0,05","0,32","2,09","1,96",<DL,"248,71","1185,17","5372,66"
m21/27_55-56,"246,65","6,69","4,68","58,91","0,29","0,59","2,5",<DL,"0,7","0,15",<DL,"1,92","2,12","0,43","1,72","0,34","0,06","0,27","0,03","0,2","0,03","0,1",<DL,"0,07",0,"0,54","1229,07","3677,44","186,22","199499,5","803,48","0,68","0,02","4,71","0,24","376,13",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,02","0,04","23,57",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,28",<DL,"0,04","0,43","1,54","1,82",<DL,"171,95","986,1","5465,15"
m21/27_68-70,"5237,24","26,08","21,89","355,28","5,99","10,46","14,96","13,35","0,55","0,44","0,03",14,"28,17","3,9","15,65","3,36","0,68","2,69","0,37","1,97","0,36","0,96","0,1","0,74","0,1","1,21","3360,88","4807,03","2271,02","16880,76","7535,5","7,47","0,47","31,16","1,49","22,79",<DL,<DL,<DL,"1,01",<DL,<DL,"0,11",<DL,"0,01","0,07","17,89",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"6,86","0,06","0,4","0,19","10,93","0,58",<DL,"1756,86","818,63","3902,36"
m21/27_8-10,"7174,7","33,66","27,77","185,58","5,49","11,3","10,77","16,64","0,87","0,63","0,01","15,8","31,07","4,29","17,17","3,63","0,75","3,02","0,42","2,23","0,41","1,08","0,12","0,84","0,11","1,11","2218,76","4562,12","3216,34","5397,79","10852,29","10,31","0,52","42,33","3,41","10,91",<DL,<DL,<DL,"1,14",<DL,<DL,"0,26",<DL,"0,01","0,26","14,96",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"8,34","0,09","0,59","0,22","14,96","0,85",<DL,"1794,49","725,27","3082,5"
m21/28_0-5,"4812,35","28,51","22,01","91,69","5,58","8,15","6,53","12,02","0,28","0,38","0,02","13,06","26,97","3,49","14,09","2,98","0,61","2,4","0,34","1,81","0,33","0,89","0,1","0,69","0,09","1,33","4055,08","5291,39","2113,66","29883,09","6776,55","7,36","0,51","34,57","1,67","32,66","0,19",<DL,<DL,"1,11",<DL,<DL,"0,15",<DL,"0,01","0,08","7,29",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"9,53","0,07","0,23","0,24","8,57","0,77",<DL,"2039,13","1078,54","4509,29"
m21/28_15-17,"7059,4","40,12","32,61","106,98","5,53","10,65","13,57","35,29","0,45","0,42","0,02","15,51","31,83","4,14","16,57","3,54","0,73","2,89","0,41","2,23","0,42","1,13","0,12","0,89","0,12","0,8","23275,69","9218,78","3250,03","30718,4","11662,05","12,26","0,77","73,26","2,35","33,61","0,42","0,03",<DL,"1,52",<DL,<DL,"0,68",<DL,"0,01","0,24","10,14","0,03",<DL,<DL,<DL,<DL,<DL,"0,03","15,72","0,12","0,35","0,37",14,"0,83",<DL,"2470,99","1215,86","6284,6"
m21/28_20-25,"5470,86","39,88","24,31","300,52","5,18","8,53","14,79","11,42","0,62","0,44","0,01","14,9","28,97","4,03","15,94","3,4","0,71","2,75","0,39","2,11","0,39","1,07","0,11","0,82","0,11","0,93","1749,75","4104,02","1960,66","21201,8","9837,29","9,27","0,51","26,46","2,38","31,21","0,02",<DL,<DL,"1,11",<DL,<DL,"0,27",<DL,"0,02","0,3","13,97",<DL,<DL,<DL,<DL,<DL,<DL,"0,03","8,75","0,07","0,6","0,25","12,19","0,79",<DL,"1907,97","795,05","3326,51"
m21/28_26-27,"320,68","6,82","4,56","63,86","0,37","0,24","1,14",<DL,"0,04","0,16",<DL,"2,04","2,45","0,42","1,74","0,34","0,07","0,31","0,03","0,22","0,03","0,11",<DL,"0,09",0,"0,08","526,92","4546,5","187,7","88196,35","1002,18","0,72","0,03","4,05","0,3","204,4",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,05","3,36",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,43",<DL,"0,03","0,22","1,29","1,63",<DL,"223,21","1053,98","5163,17"
m21/28_32-33,"5157,2","39,08","21,07","189,59","4,36","7,88","7,46","11,67","0,59","0,43","0,01","13,36","26,72","3,57","14,61","3,08","0,62","2,45","0,34","1,83","0,34","0,92","0,1","0,72","0,09","0,59","2160,42","3477,05","1824,76","22209,78","8251,45","8,1","0,47","23,2","2,25","31,1","0,01",<DL,<DL,"1,03",<DL,<DL,"0,2",<DL,"0,01","0,26","14,16",<DL,<DL,<DL,<DL,<DL,<DL,"0,03","7,44","0,06","0,42","0,21","11,28","0,83",<DL,"1987,53","768,94","3538,29"
m21/28_33-34,"458,3","7,45","4,01","82,19","0,65","0,41","8,57","1,17",<DL,"0,15",<DL,"2,38","3,46","0,61","2,56","0,52","0,1","0,42","0,05","0,3","0,05","0,15",<DL,"0,11","0,01","0,1","2628,75","3651,76","364,05","56077,3","821,8","0,94","0,05","5,72","0,39","135,36",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,05","0,41",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,83",<DL,<DL,"0,14","1,14","0,84",<DL,"302,05","1116,48","5105,93"
m21/28_35-37,"7073,19","31,88","24,08","585,18","6,56","12,59","13,9","18,33","1,53","0,54","0,04","15,38","32,75","4,18","16,63","3,6","0,71","2,82","0,4","2,09","0,38","1,02","0,11","0,79","0,1","1,51","2886,92","4804,67","2670,08","16179,77","11153,68","13,21","0,54","29,54","3,51","25,5","0,03",<DL,"0,02","1,18",<DL,<DL,"0,35",<DL,"0,02","0,57","53,11",<DL,"0,59",<DL,<DL,<DL,<DL,"0,1","8,87","0,09","0,89","0,26","13,87","1,17",<DL,"1915,22","773,11","3295,3"
m21/28_46-48,"1145,39","20,63","7,09","195,9","1,42","2,73","6,27","3,85","0,32","0,26",<DL,"2,8","4,47","0,74","3,05","0,63","0,12","0,52","0,06","0,37","0,06","0,19","0,01","0,14","0,01","0,49","755,57","3766,28","437,45","67349,28","2704,29","2,57","0,06","6,16","1,02","191,04","0,01",<DL,"0,1","0,47",<DL,<DL,<DL,<DL,"0,02","0,22","8,09",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,34",<DL,"0,11","0,21","2,73","1,96",<DL,"767,04","1090,64","4714,71"
m21/28_50-51,"511,42","8,07","4,02","49,01","0,41","0,47","25,03","8,08","0,4","0,16",<DL,"1,24","1,74","0,33","1,38","0,31","0,05","0,26","0,03","0,18","0,03","0,09",<DL,"0,06",<DL,<DL,"465,31","3262,36","246,08","44694,8","1243,91","1,11","0,02","4,19","0,5","116,63",<DL,<DL,"0,01",<DL,<DL,<DL,<DL,<DL,"0,01","0,1","9,86",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,88",<DL,<DL,"0,14","1,37","1,35",<DL,"394,97","1075,71","5040,67"
m21/28_52-53,"5479,56","39,11","21,89","297,81","4,46","9,36","12,21","14,17","1,21","0,58","0,06","10,83","22,23","2,98","11,98","2,53","0,49","1,92","0,26","1,39","0,24","0,67","0,07","0,52","0,06","0,54","2282,92","4242,65","2398,73","51689,74","9274,18","8,45","0,33","25,54","4,52","143,52","0,04",<DL,"0,05","0,91",<DL,<DL,"0,19",<DL,"0,03","0,77","26,43",<DL,<DL,<DL,<DL,<DL,<DL,"0,05","6,14","0,05","0,97","0,34","10,82","2,76",<DL,"1911,95","741,88","3411,48"
m21/28_55-56,"1630,56","25,84","8,47","97,98","1,29","2,59","4,38","9,12","0,27","0,29",<DL,"3,74","5,83",1,"4,11","0,86","0,16","0,69","0,09","0,5","0,09","0,25","0,02","0,18","0,02","0,35","1416,57","5866,7","808,69","88554,39","3087,86","2,63","0,09","9,7","1,7","204,72","0,02",<DL,"0,05","0,56",<DL,<DL,<DL,<DL,"0,02","0,31","5,25",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,34",<DL,"0,21","0,26","3,41","2,02",<DL,"1196,07","1073,5","4747,66"
m21/28_57-59,"2904,05","28,52","13,07","131,84","2,58","4,9","5,06","5,89","0,6","0,39","0,02","6,7","12,19","1,79","7,2","1,51","0,29","1,18","0,15","0,84","0,15","0,41","0,03","0,3","0,03",<DL,"1830,66","4033,97","1291,26","72336,43","4629,06","4,27","0,19","16,86","2,14","164,19","0,02",<DL,"0,11","0,66",<DL,<DL,<DL,<DL,"0,02","0,19","13,84",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,86","0,04","0,35","0,26","5,94","1,4",<DL,"1528,8","915,14","4220,79"
m21/28_61-62,"1326,35","19,54","6,78","65,08","0,85","1,72","15,24","9,7","0,42","0,25",<DL,"2,62","3,55","0,68","2,76","0,58","0,11","0,47","0,06","0,34","0,06","0,17",<DL,"0,12","0,01",<DL,"1204,56","4950,24","682,97","84433,67","2343,14","2,07","0,07","8,29","1,6","208,54","0,02",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,29","9,76",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,25",<DL,"0,16","0,25","2,84","1,69",<DL,"1038,72","1006,64","4775,43"
m21/28_64-65,"7243,43","39,46","27,34","244,77","5,74","11,83","8,67","15,81","1,07","0,65","0,01","15,11","30,18","4,17","16,54","3,51","0,69","2,81","0,39","2,06","0,37",1,"0,12","0,79","0,1","0,16","3007,33","4757,32","3095,33","9571,55","11570,57","10,8","0,49","38,17","4,02","21,02","0,03",<DL,"0,02","1,16",<DL,<DL,"0,3",<DL,"0,02","0,45","18,3",<DL,<DL,<DL,<DL,<DL,<DL,"0,05","8,38","0,1","0,78","0,24","14,67","1,28",<DL,"1717,7","738,73","3202,12"
m21/29,"6308,85","39,53","25,89","241,9","5,47","10,79","8,55","13,96","0,82","0,54","0,02","15,55","30,39","4,29","17,18","3,69","0,72","2,9","0,4","2,13","0,38","1,05","0,11","0,81","0,11","1,45","3278,17","4733,31","2617,5","13495,51","10050,98","9,49","0,47","34,45","2,89","25,59","0,03",<DL,<DL,"1,23",<DL,<DL,"0,29",<DL,"0,02","0,29","17,74",<DL,<DL,<DL,<DL,<DL,<DL,"0,05","7,82","0,1","0,8","0,23","13,03","0,88",<DL,"1745,04","713,2","3318,16"
m21/30_13-14,"6812,42","36,34","28,94","306,67","7,25","11,37","12,63","16,89","0,89","0,65",<DL,"15,96","33,24","4,31","16,89","3,66","0,73","2,98","0,41","2,22","0,4","1,11","0,12","0,85","0,11","1,72","2340,48","3645,89","2506,21","2512,32","12331,04","11,24","0,62","32,34","2,89","5,64","0,05",<DL,<DL,"1,33",<DL,<DL,"0,38",<DL,"0,02","0,34","18,89",<DL,<DL,<DL,<DL,<DL,<DL,"0,04","11,61","0,1","0,58","0,29","14,79","0,9",<DL,1659,"763,46","3401,12"
m21/30_16-19,"1205,99","21,24","7,59","45,26","0,91","1,32","4,04","8,61","0,14","0,24",<DL,"3,72","5,02","0,84","3,4","0,66","0,13","0,57","0,07","0,4","0,07","0,21","0,01","0,15","0,01","0,5","443,77","1642,87","489,24","22806,77","2645,25","1,96","0,1","10,42","1,09","40,04","0,01",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,22","2,1",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,52",<DL,"0,09","0,09","4,27","0,79",<DL,"783,95","975,66","4859,08"
m21/30_19-23,"1635,83","31,52","11,08","166,71","2,55","2,63","20,22","19,97","1,28","0,35",<DL,"3,38","7,26","0,89","3,58","0,72","0,14","0,58","0,07","0,42","0,07","0,21",<DL,"0,16","0,01","0,2","499,87","1381,88","577,75","15542,5","4946,37","2,55","0,14","7,94","1,5","35,17","0,01",<DL,"0,03",<DL,<DL,<DL,"28,3","0,04","0,01","0,25","25,33",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"4,38",<DL,"0,11","0,1","6,87","1,76",<DL,"968,08","1052,76","4717,44"
m21/30_23-25,"7499,4","29,36","28,4","306,07","7,34","13,76","10,2","17,36","1,3","0,54","0,01","19,79","42,24","5,51","21,86","4,72","0,95","3,78","0,52","2,79","0,51","1,36","0,14","1,03","0,14","1,62","3014,58","5715,77","2722,33","8980,16","10986,38","15,2","0,67","32,86","1,99","8,1","0,05",<DL,<DL,"1,83",<DL,<DL,"1,36",<DL,"0,02","0,18","66,65",<DL,<DL,<DL,<DL,<DL,<DL,"0,04","11,39","0,11","0,7","0,26","15,81","0,54",<DL,"1901,63","738,26",3258
m21/31_11-13,"6299,71","36,63","28,38","191,96","5,78","10,2","14,19","16,89","0,74","0,63","0,03","13,8","29,4","3,79","15,3","3,24","0,66","2,72","0,37",2,"0,37","1,01","0,11","0,77","0,1","1,41","3093,63","3489,34","2241,64","1407,5","12135,77","10,78","0,65","53,1","2,44","6,45","0,04",<DL,<DL,"1,22",<DL,<DL,"0,56",<DL,"0,01","0,53","16,84",<DL,<DL,<DL,<DL,<DL,<DL,"0,03","10,66","0,09","0,26","0,3","15,49","0,78",<DL,"1648,76","937,88","3943,2"
m21/31_15-19,"2361,27","29,14","12,68","128,41","2,7","3,93","4,19","4,57","0,4","0,41",<DL,"4,77","9,95","1,29","5,17","1,08","0,22","0,92","0,12","0,67","0,12","0,33","0,02","0,26","0,03","0,11","921,69","1491,25","965,79","2150,92","4942,17","3,91","0,24","24,53","1,74","5,14",<DL,<DL,<DL,<DL,<DL,<DL,"0,16",<DL,<DL,"0,24","4,87",<DL,<DL,"0,06",<DL,<DL,<DL,<DL,"3,67",<DL,"0,08","0,09","7,73","0,9",<DL,"1190,91","987,2","4340,53"
m21/31_21-27,"7367,54","35,9","30,03","388,27","7,4","13,57","18,53","19,47","1,69","0,73","0,02","17,19","35,12","4,65","18,78","4,04","0,83","3,35","0,46","2,45","0,45","1,21","0,14","0,94","0,12","0,7","2341,98","4148,32","2495,19","2341,81","12517,7","12,78","0,61","37,35","2,99","6,2","0,02",<DL,<DL,"1,31",<DL,<DL,"0,44",<DL,"0,02","0,73",75,<DL,<DL,<DL,<DL,<DL,<DL,"0,05","10,51","0,11","0,64","0,24","15,96","0,83",<DL,"1660,74","758,2","3239,67"
m21/31_30-32,"2408,91","28,58","11,91","138,57","2,46","4,81","24,74","23,81","0,54","0,42",<DL,"4,41","9,36","1,18","4,73","0,99","0,2","0,84","0,11","0,61","0,11","0,3","0,03","0,23","0,02","1,06","1428,22","1491,09","1151,91","1784,05","4344,3","4,19","0,21","19,34","2,1","4,25","0,01",<DL,<DL,<DL,<DL,<DL,"0,09",<DL,<DL,"0,29","8,23",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"3,61",<DL,"0,1","0,1","7,95","0,81",<DL,"1263,94","1033,3","4322,6"
m21/31_35-37,"1543,89","26,96","10,08","84,01","2,8","2,67","3,25","4,02","0,54","0,3",<DL,"4,22","9,16","1,11","4,47","0,92","0,18","0,74","0,09","0,53","0,09","0,27","0,02","0,2","0,02","0,16","2097,69","1503,73","7667,87","12413,16","3394,24","2,42","0,16","13,81","13,72","24,72",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,18","12,05",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,6",<DL,"0,08","0,13","5,06","0,91",<DL,"866,18","1021,76","4879,45"
m21/31_39-41,"4113,77","26,48","23,44","174,48","6,04","6,5","7,58","5,79","0,51","0,41",<DL,"17,51","37,57","4,88","19,57","4,25","0,9","3,62","0,5","2,71","0,51","1,4","0,15","1,07","0,14","1,23","3126,42","3056,25","1643,47","2685,59","6917,79","6,88","0,69","35,5","0,79","4,14","0,02",<DL,<DL,"1,58","0,06",<DL,"0,18",<DL,"0,01","0,07","37,58",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"10,58","0,09","0,33","0,22","11,25","0,33",<DL,"1294,98","914,16","4079,8"
m21/33,"2627,49","24,19","13,35","225,04","3,71","4,21","14,71","10,78","0,5","0,28","0,11","8,54","27,36","2,27","9,17","1,93","0,4","1,64","0,22","1,22","0,23","0,64","0,07","0,49","0,06","0,55","199,91","1618,72","1589,95","18866,64","3800,2","2,33","0,34","7,35","0,82","24,24","0,28",<DL,<DL,"0,84","0,06",<DL,"0,02",<DL,"0,01","0,13","26,01",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"6,86","0,03","0,15","0,1","5,31","0,96",<DL,"1154,01","1133,07","5150,55"
m21/34a,"1848,12","24,13","10,84","70,39","2,4","3,29","19,85","31,89","0,42","0,27","0,02","6,08","12,07","1,59","6,45","1,34","0,27","1,1","0,14","0,81","0,15","0,42","0,04","0,32","0,04","0,1","186,41","1390,46","578,63","27812,16","3324,41","2,02","0,28","4,77","1,13","7,9","0,05",<DL,<DL,"0,58",<DL,<DL,"0,33","0,03",<DL,"0,17","16,24",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"6,92","0,05","0,05","0,14","5,1","0,69",<DL,"936,15","1223,57","5161,98"
m21/34b,"3934,49","36,29","19,65","236,87","5,47","7,28","16,74","21,33","0,71","0,36","0,03","10,76","22,29","2,9","11,73","2,47","0,51","2,03","0,28","1,52","0,28","0,77","0,08","0,6","0,08","1,61",108,"2136,69","1024,35","14644,46","6590,61","5,02","0,51","7,46","1,45","5,43",<DL,<DL,<DL,1,<DL,<DL,"0,29","0,03","0,01","0,33","31,78",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"9,56","0,06","0,05","0,2","9,04","0,7",<DL,"1766,8","1145,66","5048,81"
m21/35,"4716,22","47,67","22,81","102,29","4,03","7,12","22,54","37,65","0,4","0,37","0,02","11,79","23,84","3,17","12,7","2,76","0,52","2,09","0,29","1,59","0,29","0,81","0,09","0,62","0,08","0,33","55801,62","9115,44","3603,64","23617,95","8254,3","8,91","0,5","84,43","2,42","29,75","0,15","0,01",<DL,"1,12",<DL,<DL,"0,71","0,02","0,01","0,31","12,03",<DL,<DL,<DL,<DL,<DL,<DL,"0,04","9,26","0,12","0,22","0,33","10,54","1,22",<DL,"2149,65","1274,44","9852,75"
m21/36,"491,28","4,99","5,17","46,71","0,24","0,2","0,66",<DL,<DL,"0,16",<DL,"1,43","2,02","0,35","1,45","0,31","0,05","0,27","0,03","0,19","0,03","0,1",<DL,"0,07",0,<DL,"2708,79",4053,"234,6","92180,22","1087,54","0,67","0,01","5,73","0,3","282,37","0,1",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,02","0,03","1,28","0,04",<DL,<DL,<DL,<DL,<DL,<DL,"0,47",<DL,"0,1","0,23","1,45","2,78",<DL,"96,56","1176,51","5881,68"
