Sample_name,Al,Ti,V,Mn,Co,Ni,Cu,Zn,Ga,Ge,Cd,La,Ce,Pr,Nd,Sm,Eu,Gd ,Tb ,Dy,Ho,Er,Tm ,Yb,Lu   ,Hg,Na,Mg ,K,Ca,Fe,Li,Be,B,Rb,Sr,Zr,Nb,Mo,Pd,Ag,In,Sn,Sb,Te,Cs,Ba,Hf,Ta,W,Os,Pt,Au,Tl,Pb,Bi ,Th ,U,Cr,As,Se  ,Si,P,S
m21/55,"332,45",6,"7,7","81,07","0,47","1,32","0,87","1,63",<DL,"0,24",<DL,"1,96","2,57","0,46","1,9","0,42","0,08","0,34","0,04","0,27","0,05","0,14",<DL,"0,1","0,01","1,6","4279,56","6908,86","266,63","164623,3","2019,17","1,63","0,03","8,57","0,16","573,63","0,12",<DL,"0,01","0,75",<DL,<DL,<DL,<DL,"0,06","0,05","3,9",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,19",<DL,"0,07","0,39","2,04","4,56",<DL,"146,97","1275,99","6298,48"
m21/56,"304,65","5,86","6,96","82,73","0,42","0,61","0,86","1,76",<DL,"0,21",<DL,"2,23","2,15","0,36","1,54","0,34","0,06","0,29","0,03","0,22","0,04","0,12",<DL,"0,09",0,"1,36","3714,77","5541,05","258,29","130511,4","1879,95","1,51","0,02","8,44","0,15","516,09","0,15",<DL,0,"0,7",<DL,<DL,<DL,<DL,"0,04","0,03","2,8",<DL,<DL,<DL,<DL,<DL,<DL,<DL,1,<DL,"0,07","0,33","1,87","4,55",<DL,"151,1","1219,61","6183,6"
m21/57,"528,71","10,78","9,89",96,"0,64","1,65","0,92","8,82","0,03","0,26","0,04","3,39","4,01","0,71","3,03","0,67","0,12","0,55","0,07","0,41","0,07","0,22","0,02","0,16","0,02","0,14","6162,22","8948,46","663,51","185005,7","2821,45","2,35","0,05","13,93","0,29","537,74","0,06",<DL,"0,01","1,05",<DL,<DL,"1,03","0,11","0,05","0,07","6,86",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,16",<DL,"0,04","0,5","3,11","5,11",<DL,"289,2","1390,96","6572,06"
m21/58,"433,79","10,64","7,39","72,85","0,44","1,36","10,17","10,35","0,09","0,21","0,01","3,05","3,84","0,65","2,78","0,59","0,11","0,47","0,06","0,36","0,07","0,2","0,01","0,15","0,01",<DL,"4350,7","7029,48","306,16","156662,4","1887,27","1,81","0,03","11,23","0,24","493,17",<DL,<DL,<DL,"0,81",<DL,<DL,<DL,<DL,"0,04","0,06","6,81",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,98",<DL,"0,04","0,44","2,38","3,08",<DL,"237,96","1246,33","6215,27"
m21/59,"213,32","5,73","5,63","50,86","0,26","0,26","0,78",<DL,"0,12","0,17","0,05","1,88","2,1","0,5","1,76","0,46","0,15","0,37","0,11","0,29","0,11","0,19","0,07","0,15","0,07","66,87","3400,63","3818,81","226,63","105655,1","1211,61","0,96","0,02","5,42","0,13","366,16",<DL,<DL,<DL,"0,51","149,92","0,71",<DL,<DL,"0,06","0,04","1,67",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,31","0,67","0,15","0,47","1,48","3,12","0,06","98,36","1202,79","5765,79"
m21/60,"165,17","5,53","5,18","48,19","0,22","0,33","0,66","0,1",<DL,"0,16",<DL,"1,6","1,65","0,31","1,32","0,28","0,04","0,23","0,02","0,17","0,03","0,09",<DL,"0,06",0,"1,75","849,5","4013,65","163,86","116398,3","1068,57","0,71","0,01","3,55","0,12","355,9","0,05",<DL,<DL,"0,57","1,03",<DL,<DL,<DL,"0,03","0,03","1,8",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,63",<DL,"0,06","0,27","1,48","2,92",<DL,"80,99","1199,42","5821,84"
m21/61_30-31,"718,65","15,31","5,98","20,58","0,63","0,93","10,25","3,03",<DL,"0,22",<DL,"2,55","3,87","0,61","2,53","0,49","0,08","0,37","0,04","0,25","0,04","0,12",<DL,"0,09",0,<DL,"749,6","3189,3","376,61","31475,04","1879,9","1,54","0,07","5,91","0,8","59,03",<DL,<DL,<DL,<DL,"0,29",<DL,<DL,<DL,"0,01","0,14",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,75",<DL,<DL,"0,14","3,35","0,99",<DL,"401,68","1149,91","4898,39"
m21/62_18-19,"559,83","13,79","5,36","30,65","0,58","0,55","1,61",<DL,<DL,"0,2",<DL,"2,48","3,86","0,59","2,42","0,46","0,08","0,35","0,04","0,23","0,03","0,11",<DL,"0,08",0,<DL,"529,13","1963,1","289,69","29749,19","1467,2","1,14","0,05","4,13","0,63","66,65",<DL,<DL,<DL,<DL,"0,22",<DL,<DL,<DL,"0,01","0,13",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,15",<DL,<DL,"0,11","2,82","0,96",<DL,"350,17","1181,29","5102,62"
m21/62_35-38,"656,39","13,45","5,49","38,6","0,56","0,97","16,9","8,32",<DL,"0,17",<DL,"1,85","2,68","0,44","1,84","0,37","0,07","0,32","0,03","0,24","0,04","0,12",<DL,"0,09",0,"0,53","822,23","3828,68","353,8","55826,86","1442,21","1,49","0,06","4,41","0,69","140,09",<DL,<DL,<DL,"0,43","0,17",<DL,<DL,<DL,"0,01","0,14","0,13",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,17",<DL,<DL,"0,17","2,19","1,33",<DL,"447,84","1165,76","5288,02"
m21/62_51-55,"673,68","14,44","6,25","37,07","0,77",1,"14,34","11,34",<DL,"0,21",<DL,"2,22","3,28","0,54","2,31","0,46","0,08","0,37","0,04","0,26","0,04","0,13",<DL,"0,1","0,01",<DL,"1679,21","3578,49","369,75","55403,81","1730,62","1,58","0,06","5,51","0,74","150,27",<DL,<DL,<DL,<DL,"0,19",<DL,<DL,<DL,"0,02","0,13","0,73",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,8",<DL,<DL,"0,18","2,31","1,68",<DL,"400,01","1134,83","5211,34"
m21/63_34-37,"1789,15","29,68","12,05","26,4","1,68","2,89","17,69","21,98","0,14","0,32",<DL,"5,49","11,13","1,52","6,16","1,24","0,23","0,94","0,12","0,66","0,12","0,33","0,03","0,25","0,03",<DL,"1683,34","2275,36","765,86","28793,03","3677,27","3,12","0,2","13,44","1,29","57,86","0,01",<DL,<DL,"0,64","0,18",<DL,"0,14",<DL,"0,01","0,19","2,67",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"5,07",<DL,"0,09","0,19","5,74","1,18",<DL,"993,69","1131,8","4832,51"
m21/63_54-58,"872,48","22,57","13,54","22,75","0,92","1,49","2,73","2,77","0,24","0,32",<DL,"4,49","7,71","1,17","4,68","0,91","0,16","0,69","0,08","0,47","0,08","0,23","0,02","0,17","0,02","0,69","846,24","2020,26","426,61","40731,7","3802,74","1,62","0,14","6,66","0,78","50,36","0,04",<DL,<DL,"0,41","0,17",<DL,<DL,<DL,"0,01","0,15","6,15",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"27,23",<DL,"0,07","0,15","7,84","0,95",<DL,"483,4","1227,28","5094,07"
